gene_symbol,GSM1020099,GSM1020100,GSM1020101,GSM1020102,GSM1020103,GSM1020104,GSM1020105,GSM1020106
ACAN,5.60133288043455,5.54899684589927,5.80604353716727,5.44032780989402,5.4834268631333,5.5419535949758,5.57307642279364,5.4004246688224
ACAP1,5.3134308492886,6.17179001739588,6.07822598756449,5.35824962287285,5.46599733503702,6.77588553611384,5.6305015728999,5.52401421602268
ACAP2,6.06683010564176,6.62423600210385,7.17570874261058,6.42009061521028,6.89133950299448,7.15711887322724,6.49919639530681,6.89862658312784
ACAP3,6.50302233788999,7.09549392992922,6.33033476700214,7.10576754299636,6.74595347141008,6.67232445318613,6.48138724888724,6.66089530001804
ACAT1,7.62030968587125,9.04443665010344,8.9725200112516,9.14903313173331,8.52649801270747,8.65255022199096,9.27756035522636,9.23106286165904
ACAT2,8.09682549336015,8.62848113987586,8.11377430581471,8.11562908593063,7.16974453451917,7.51534414722789,8.06975310839014,9.40657039792304
ACBD3,8.90839157071043,7.72733972558877,8.06861882382838,7.97935084840338,8.69239963589721,9.07072539163926,8.45437713313627,8.72599582127578
ACBD4,6.09654393966715,6.48626665833921,6.22859921406216,6.2449275204515,6.37037200677492,6.58166624945253,6.30306507379589,6.1628500047811
ACBD5,8.03239449753419,7.84713668050071,7.54428308057563,8.25041583141568,8.62107643922154,8.12213926679139,8.22271054075106,8.64985309197453
ACBD6,7.11486244750329,6.95058487750277,7.82082222535744,7.87373759364676,7.28687627272633,6.9473894594105,7.01131673055817,7.19878048913774
ACCS,5.84920173165818,6.11991458375311,6.7673985894109,5.86763083249038,5.81518470116234,5.75041975438807,6.00253550189611,6.06710450087271
ACD,6.70141365315827,7.20644193340166,7.78043116612504,7.81850689011295,7.00935870786725,7.34458133283346,7.70814249281016,6.94498344469985
ACE,5.37719979903387,5.32921626268582,5.14366896074901,5.06197567040007,5.10395434356343,4.76618694626692,5.19125451163696,5.16461917126192
ACE2,3.4117740785713,5.59257725728656,3.00191154264238,3.72255574855808,4.4409373225629,3.19119413163283,3.56392123997251,5.63035080935045
ACER1,4.16708637777853,5.00420957208132,3.98518201169501,4.21058505513237,4.08522096403579,4.22169457409705,3.90755938935661,5.64921060466088
ACER2,3.85717637195155,3.93897932899171,3.42566923774271,3.64554457788686,4.82639289172212,3.69890642580344,3.95789038909702,4.82395239489382
ACER3,6.50270929148147,6.09179107901278,7.19689287403226,7.21019225798445,6.98462154939794,5.86825596450633,7.11129254351636,6.84295829702049
ACHE,3.58613308260241,3.82604851370926,3.41489927534062,3.41170371548619,3.36080077136327,3.57486887599264,3.78252604256657,3.64992865809669
ACIN1,6.88652320116543,7.24399462606612,7.63511720457089,6.98480357440663,7.14973723095098,7.08266505264949,6.7313818299525,6.82600274641975
ACKR1,5.85341559681684,7.51640742305275,7.68289402710478,5.04624648451437,6.30142474423767,7.18443478265046,7.21032676574813,6.18233562109135
ACKR2,5.15877835393503,4.976701911898,5.13455289146207,5.3104834406043,5.15295652608025,5.32520453072001,4.88269368746137,5.26778505185363
ACKR3,8.71464192879989,8.83951726710336,10.0535015097494,9.29033764955061,9.67502221174908,7.68737248948363,9.9064523626399,9.91865604634509
ACKR4,4.67983071372509,5.22575816874317,4.15055115871109,4.76253416788483,4.99167648865644,4.03035557461977,4.08470353079674,5.91072384086873
ACLY,8.17796629163837,7.86441786994418,8.3259098276983,8.68029980968277,8.38625414667602,7.96957626017059,8.74844667800717,8.73042458249683
ACMSD,3.02378520726412,3.14479091472881,3.09718171075073,3.07303028981777,3.09553298531135,3.07365940205484,3.13256418096388,3.20459129054694
ACO1,7.1109275940463,7.12969301321393,6.9727298674121,7.48401696423583,7.44625169983476,6.75435395593659,7.67644545365136,6.45441360596939
ACO2,8.82094000178275,9.65084173010651,9.35496491657477,9.32856417851862,9.06476169940545,9.25104055007451,8.93003731835723,9.58333022025304
ACOD1,3.88582630653147,3.72288533182978,3.85645992130436,3.83924836019743,3.73138688169349,3.60060676329725,4.04670012726081,3.95782970111247
ACOT11,6.65259129861679,6.72918908565704,6.46909174792208,6.55526197719546,6.29395615083343,5.7167530469033,6.42596320669072,7.33413193350513
ACOT12,3.08690703787157,2.8477353682408,3.04449119264331,3.00522812696715,3.07257536999444,2.90834030233715,3.10317828358062,2.87659104002299
ACOT13,6.85789142431707,7.6527414138735,7.94432244246899,7.52119904918813,7.36191446264398,7.04017716306181,6.53051653733237,8.13948872648197
ACOT2,6.24689607403024,5.06673844240957,6.36816902545848,6.00145235824487,6.42857678923793,6.52014667424857,6.35829441224482,6.33175934346903
ACOT4,4.13876596669337,4.87619644463847,4.48495318946941,4.68407648874499,4.61503246592435,3.84774910143082,4.21034825169535,4.22862705948462
ACOT6,3.13334568871328,3.12984626893434,3.23180090161598,3.21014030419238,3.10966138908384,3.14780262924005,3.36636305261105,2.96428773076128
ACOT7,7.86092047546268,8.62541985144447,9.73657455392112,9.77529135795773,9.00297008896463,8.34279351794233,8.87815434599889,9.64764512404105
ACOT8,5.35303107956649,4.58192751457683,3.96929849267629,4.27368754222018,4.262169296929,4.40262020666424,4.81173277625303,4.19351067931738
ACOT9,8.99699891641756,7.91449234036697,9.4107809115269,8.94703870693794,8.85593855267224,8.48474690553672,9.522955408951,8.21989717057593
ACOX1,6.89805139451686,7.37561146532522,6.96238294534765,6.84335765699521,7.46666389677496,7.22456113783024,7.30907534485802,7.54660283180219
ACOX2,4.59728499995051,4.89381928760497,5.04963964869689,4.6668807458611,4.13189108065632,4.6955466410971,4.31104735257567,4.31843231413057
ACOX3,6.48666030800273,6.8628417972891,5.23682856673136,6.50270608558883,7.1886638972867,5.65174431840315,5.62858653596953,6.88530745041203
ACOXL,3.99432222168243,3.51979267498888,4.11580461063082,4.1461783601999,4.11212956339365,4.21038749323062,4.32696079413842,3.99451855969908
ACP1,8.2694882372208,7.9022737183635,9.05289300869707,8.93792001585391,8.2564389019455,8.27911105838848,8.83507961178342,8.65339298544759
ACP2,7.57589309852024,7.04449742867662,7.65244034748638,7.65797035609503,7.66033431612776,7.35238929041816,7.94301016704995,7.47287724467334
ACP3,5.96465150648816,9.46964741867192,4.92430282786652,4.74989153918223,5.81558282554519,5.13019333420709,4.84576690875431,6.63475168457495
ACP4,6.20535503947174,6.09438710767515,6.23094719096453,6.08897509700183,6.21736240015967,6.05567450614762,6.30038315972241,6.56358626201476
ACP5,8.58375100247543,8.66093949857395,7.8415815665406,8.38141626939244,8.37934177872341,7.15225706745789,8.19112741451435,8.35200346441315
ACP6,5.49021308193731,6.58143633921164,6.43842093384855,6.30952119826861,6.42294269573488,6.67315981407371,6.1429407531031,6.23244358576745
ACR,4.33757966438712,4.17617810917373,4.25276989247669,4.28454915258535,4.2511021847935,4.03209401956165,4.29564189175058,4.28707980210256
ACRBP,4.44323392665711,4.58480365397158,4.33368043056252,4.37260783874421,4.49148514593349,4.73320696229755,4.43731913545069,4.63898276518827
ACRV1,4.85583675001903,4.47155459179066,4.49155811226347,4.69908939558225,4.78069852397165,4.48021033595516,4.48683069103273,4.76399558334316
ACSBG1,3.84345794046473,4.73182931162773,3.81030826476033,3.56168913948056,3.7807365860279,6.92525150480666,3.64148827195279,3.75615294421555
ACSBG2,3.78782495162744,3.7805975729087,3.73777520269676,3.78263807456189,3.76410358634258,3.75672057883635,4.05332141004127,3.92123324110519
ACSF2,6.01053803415148,6.35109965243627,6.4126996494994,6.44530266821119,5.13927161380993,5.66436682726771,5.82945456176463,5.72661206782589
ACSF3,5.51555206773741,5.80347021146358,5.89131710985726,5.57931755029736,5.7675978125548,5.82106559762932,5.70420630578554,5.72557024237149
ACSL1,8.35082585619243,9.22115458730257,7.33572198466871,9.1915557127071,8.85706551795811,9.20389719628132,9.34938841439613,10.0175260986369
ACSL3,7.29665947754787,8.14063759411307,6.98872595550299,7.66929250825266,6.37356597286164,5.92360542920447,7.06049666257481,6.5668287262836
ACSL4,7.11891551431287,6.84632442543379,7.44992313502505,6.58022596570315,8.00570599141731,6.64213506703288,7.28734042654544,6.46306543345281
ACSL5,5.788133361423,7.31251523069475,6.18755042868774,7.23202908910905,6.12092015081764,6.89042384277172,6.88901586052937,7.2397934991659
ACSL6,4.5367909432686,3.7280604568046,4.00223470291517,3.8033622003343,3.92357879678686,4.20890680700678,3.9406227961849,3.81973648451175
ACSM1,3.74145316613556,3.68449232476157,3.507238012014,3.7477040343286,3.74685634718674,3.79391279693885,3.70785542633747,3.7095365317357
